GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Patrones Banco,com.example.AbstractFactory.view,BankView,3,129,0,16,1,28,1,10,1,2
Patrones Banco,com.example.AbstractFactory.model,CorporateBankFactory,0,46,0,4,0,8,0,6,0,4
Patrones Banco,com.example.AbstractFactory.model,CreditCard,16,11,0,0,4,4,2,2,2,2
Patrones Banco,com.example.AbstractFactory.model,SavingsAccount,14,10,0,0,4,4,2,2,2,2
Patrones Banco,com.example.AbstractFactory.model,RetailBankFactory,0,46,0,4,0,8,0,6,0,4
Patrones Banco,com.example.AbstractFactory.model,BusinessCreditLine,14,10,0,0,4,4,2,2,2,2
Patrones Banco,com.example.AbstractFactory.model,DebitCard,16,11,0,0,4,4,2,2,2,2
Patrones Banco,com.example.AbstractFactory.model,Account,0,21,0,0,0,8,0,4,0,4
Patrones Banco,com.example.AbstractFactory.model,PersonalCreditLine,14,10,0,0,4,4,2,2,2,2
Patrones Banco,com.example.AbstractFactory.model,CreditLine,46,18,8,0,8,7,8,3,4,3
Patrones Banco,com.example.AbstractFactory.model,CheckingAccount,18,6,0,0,6,2,3,1,3,1
Patrones Banco,com.example.AbstractFactory.model,Card,6,21,0,0,2,8,2,3,2,3
Patrones Banco,com.example.Facade.model,NotificationSystemImpl,0,114,0,0,0,32,0,7,0,7
Patrones Banco,com.example.Facade.model,TransactionSystemImpl,0,77,0,8,0,24,0,9,0,5
Patrones Banco,com.example.Facade.model,AccountSystemImpl,0,110,1,3,0,21,1,7,0,6
Patrones Banco,com.example.Singleton.view,SingletonDemo,5,82,2,2,1,22,3,1,1,1
Patrones Banco,com.example.Singleton.controller,Client,0,92,0,0,0,24,0,7,0,7
Patrones Banco,com.example.Facade,BankFacade,239,78,20,6,50,18,15,8,4,6
Patrones Banco,com.example.Observer.view,ObserverDemo,3,50,0,0,1,15,1,1,1,1
Patrones Banco,com.example.Strategy.model,DebitCardPayment,0,61,0,0,0,12,0,6,0,6
Patrones Banco,com.example.Strategy.model,CreditCardPayment,0,62,0,0,0,14,0,7,0,7
Patrones Banco,com.example.Singleton.model,DatabaseConnection,0,109,1,9,0,33,1,13,0,9
Patrones Banco,com.example.Observer.model,EmailObserver,0,48,0,0,0,17,0,7,0,7
Patrones Banco,com.example.Observer.model,ConcreteSubject,26,109,3,9,7,25,4,11,1,8
Patrones Banco,com.example.Observer.model,Subject,11,39,0,2,3,10,1,5,1,4
Patrones Banco,com.example.Command.controller,TransactionInvoker,21,198,2,10,7,52,4,13,2,9
Patrones Banco,com.example.Command.view,CommandDemo,3,177,0,0,1,43,1,1,1,1
Patrones Banco,com.example.Command.model,TransferCommand,18,180,7,9,5,44,6,12,1,9
Patrones Banco,com.example.Command.model,DepositCommand,3,103,1,5,1,26,1,10,0,8
Patrones Banco,com.example.Command.model,WithdrawCommand,16,144,6,10,4,37,5,12,1,8
Patrones Banco,com.example.Strategy.controller,PaymentContext,0,51,0,4,0,14,0,6,0,4
Patrones Banco,com.example.Strategy.view,StrategyDemo,3,90,0,0,1,24,1,1,1,1
