GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Patrones Banco,com.example.AbstractFactory.view,BankView,132,0,16,0,29,0,11,0,3,0
Patrones Banco,com.example.AbstractFactory.model,CorporateBankFactory,46,0,4,0,8,0,6,0,4,0
Patrones Banco,com.example.AbstractFactory.model,CreditCard,27,0,0,0,8,0,4,0,4,0
Patrones Banco,com.example.AbstractFactory.model,SavingsAccount,24,0,0,0,8,0,4,0,4,0
Patrones Banco,com.example.AbstractFactory.model,RetailBankFactory,7,39,1,3,1,7,1,5,0,4
Patrones Banco,com.example.AbstractFactory.model,BusinessCreditLine,24,0,0,0,8,0,4,0,4,0
Patrones Banco,com.example.AbstractFactory.model,DebitCard,20,7,0,0,6,2,3,1,3,1
Patrones Banco,com.example.AbstractFactory.model,Account,0,21,0,0,0,8,0,4,0,4
Patrones Banco,com.example.AbstractFactory.model,PersonalCreditLine,18,6,0,0,6,2,3,1,3,1
Patrones Banco,com.example.AbstractFactory.model,CreditLine,46,18,8,0,8,7,8,3,4,3
Patrones Banco,com.example.AbstractFactory.model,CheckingAccount,18,6,0,0,6,2,3,1,3,1
Patrones Banco,com.example.AbstractFactory.model,Card,6,21,0,0,2,8,2,3,2,3
Patrones Banco,com.example.Singleton.view,SingletonDemo,87,0,4,0,23,0,4,0,2,0
Patrones Banco,com.example.Singleton.controller,Client,92,0,0,0,24,0,7,0,7,0
Patrones Banco,com.example.Observer.view,ObserverDemo,53,0,0,0,16,0,2,0,2,0
Patrones Banco,com.example.Strategy.model,DebitCardPayment,61,0,0,0,12,0,6,0,6,0
Patrones Banco,com.example.Strategy.model,CreditCardPayment,62,0,0,0,14,0,7,0,7,0
Patrones Banco,com.example.Singleton.model,DatabaseConnection,0,109,1,9,0,33,1,13,0,9
Patrones Banco,com.example.Observer.model,EmailObserver,0,48,0,0,0,17,0,7,0,7
Patrones Banco,com.example.Observer.model,ConcreteSubject,96,39,10,2,20,12,10,5,5,4
Patrones Banco,com.example.Observer.model,Subject,34,16,1,1,9,4,4,2,3,2
Patrones Banco,com.example.Command.controller,TransactionInvoker,219,0,12,0,59,0,17,0,11,0
Patrones Banco,com.example.Command.view,CommandDemo,180,0,0,0,44,0,2,0,2,0
Patrones Banco,com.example.Command.model,TransferCommand,186,0,16,0,47,0,18,0,10,0
Patrones Banco,com.example.Command.model,DepositCommand,23,77,2,4,6,20,2,9,1,7
Patrones Banco,com.example.Command.model,WithdrawCommand,154,0,16,0,40,0,17,0,9,0
Patrones Banco,com.example.Strategy.controller,PaymentContext,51,0,4,0,14,0,6,0,4,0
Patrones Banco,com.example.Strategy.view,StrategyDemo,93,0,0,0,25,0,2,0,2,0
